id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
1302,CZ,33185,Bojkovice,xxxx0001060A,940,17.7953879145121,49.0361322762513,,S1,-513683
1151,CZ,34755,Luhačovice,xxxx0000880A,941,17.7520760922143,49.0987462754864,,S1,-516193
1179,CZ,33745,Zlín-Malenovice,xxxx0000894A,942,17.5992882929634,49.2098604982559,,S1,-526134
1298,CZ,36075,Slavičín,xxxx0001060A,943,17.8993810241188,49.0741114823951,,S1,-505730
1296,CZ,33145,Bohuslavice nad Vláří,xxxx0001060A,944,17.9261739961363,49.0962909810545,,S1,-503558
2797,CZ,37055,Lípa nad Dřevnicí,xxxx0014200A,945,17.7695246089727,49.2158772145888,,S1,-513723
1292,CZ,37185,Vlárský průsmyk,xxxx0001060A,946,18.0529969802232,49.0331890015794,,S1,-494955
1294,CZ,33535,Bylnice,xxxx0001060A,947,18.01388280559,49.0676430063876,,S1,-497462
2157,CZ,33405,Brumov,xxxx0003248A,948,18.0363461674294,49.0943579754703,,S1,-495564
2159,CZ,36635,Valašské Klobouky,xxxx0003248A,949,18.0225516379153,49.1423726986811,,S1,-496093
520,CZ,33652,Horní Lideč,xxxx0000120A,950,18.0580459612733,49.1890617144558,,S1,-493054
20,CZ,34815,Luleč,xKADR034537B,951,16.922864429391,49.2487053218061,,S1,-574728
21,CZ,36895,Vyškov na Moravě,xKADR034537B,952,16.991914511732,49.2784122884075,,S1,-569390
23,CZ,34145,Ivanovice na Hané,xKADR034537B,953,17.0873922212667,49.3061203993206,,S1,-562168
25,CZ,35285,Nezamyslice,xKADR034537B,954,17.1612529616196,49.3358810108061,,S1,-556492
26,CZ,35235,Němčice nad Hanou,xKADR034537B,955,17.2165324096342,49.3446970809732,,S1,-552398
266,CZ,33075,Pivín,xKADR045677C,956,17.1887371872484,49.3874562011371,,S1,-553933
3196,CZ,35775,Ptení,xxxx0024700A,957,16.9578406943138,49.5292289873375,,S1,-568987
2789,CZ,35725,Prostějov místní nádraží,xxxx0014056A,958,17.1115789111413,49.478705193691,,S1,-558483
264,CZ,33045,Bedihošť,xKADR045677C,960,17.1665777254639,49.4417067824995,,S1,-554929
2790,CZ,34385,Kostelec na Hané,xxxx0014056A,961,17.0650383640456,49.5090732694119,,S1,-561495
2791,CZ,33292,Čelechovice na Hané,xxxx0014056A,962,17.0967631768105,49.5134799677597,,S1,-559160
2793,CZ,35062,Třebčín,xxxx0014056A,963,17.1179470681903,49.5508151852996,,S1,-557215
82,CZ,35342,Vrbátky,xKADR043716C,964,17.1976694954439,49.5018518792645,,S1,-552019
2786,CZ,36945,Zborovice,xxxx0013901A,965,17.2830513090022,49.2533995779138,,S1,-548589
2784,CZ,36935,Zdounky,xxxx0013901A,966,17.315627365332,49.2288784021978,,S1,-546497
28,CZ,34306,Kojetín,xKADR034537B,967,17.3045569769141,49.3456117144322,,S1,-546023
29,CZ,34105,Chropyně,xKADR034537B,968,17.3613194536308,49.369195167517,,S1,-541663
1772,CZ,34475,Kroměříž,xxxx0001640A,969,17.4027474189472,49.3020524838943,,S1,-539393
400,CZ,36475,Tlumačov,xxxx0000100A,970,17.5013204534595,49.2540450207791,,S1,-532769
